licno,place_id,name_tc,place_name_tc,name_en,place_name_en,adr_tc,place_adr_tc,adr_en,place_adr_en
2263802894,ChIJp3lCEKsABDQR0qY1E9DHbGg,鳴門 / 龍德樓,深盛路8號,NARUTO / DRAGON HOUSE,8 Sham Shing Rd,九龍荔枝角 深盛路8號 碧海藍天 地下L005號舖 鳴門 / 龍德樓,香港長沙灣深盛路8號,"NARUTO / DRAGON HOUSE, SHOP L005, G/F, AQUA MARINE, 8 SHAM SHING ROAD, LAI CHI KOK, KOWLOON","8 Sham Shing Rd, Cheung Sha Wan, Hong Kong"
2263802894,ChIJo7aTbKsABDQR-MZgCVLIyQs,鳴門 / 龍德樓,名苑,NARUTO / DRAGON HOUSE,Ming Garden Restaurant,九龍荔枝角 深盛路8號 碧海藍天 地下L005號舖 鳴門 / 龍德樓,香港荔枝角深盛路8號碧海藍天JUSCO荔枝角店L004號鋪,"NARUTO / DRAGON HOUSE, SHOP L005, G/F, AQUA MARINE, 8 SHAM SHING ROAD, LAI CHI KOK, KOWLOON","Hong Kong, 荔枝角深盛路8號碧海藍天JUSCO荔枝角店L004號鋪"
2263803125,ChIJBQ_to0oHBDQRc6Z4n0m-eog,茶館,石硤尾邨美薈樓,TEA HOUSE,Shek Kip Mei Estate Mei Wui House,九龍石硤尾邨II期美薈樓地下6號舖 茶館,香港石硤尾窩仔街,"TEA HOUSE, SHOP 6, G/F, MEI WUI HOUSE, SHEK KIP MEI ESTATE, PHASE 2, KOWLOON","Woh Chai St, Shek Kip Mei, Hong Kong"
2263803125,ChIJjz3Wx0oHBDQRt1ukinzGAs8,茶館,石硤尾邨,TEA HOUSE,Shek Kip Mei Estate,九龍石硤尾邨II期美薈樓地下6號舖 茶館,香港深水埗南昌街,"TEA HOUSE, SHOP 6, G/F, MEI WUI HOUSE, SHEK KIP MEI ESTATE, PHASE 2, KOWLOON","Nam Cheong St, Sham Shui Po, Hong Kong"
2263803125,ChIJtxCJo0oHBDQR1R5q-no5Zn8,茶館,石硤尾邨美薈樓,TEA HOUSE,Shek Kip Mei Estate Mei Wui House,九龍石硤尾邨II期美薈樓地下6號舖 茶館,香港石硤尾窩仔街石硤尾邨美薈樓,"TEA HOUSE, SHOP 6, G/F, MEI WUI HOUSE, SHEK KIP MEI ESTATE, PHASE 2, KOWLOON","Shek Kip Mei Estate Mei Wui House, Woh Chai St, Shek Kip Mei, Hong Kong"
2263803338,ChIJp0I4pU0HBDQRU-EDOZ4uOqw,巴打冰室,巴打冰室,BUDDY CAFÉ,Buddy Cafe,九龍長沙灣青山道336號地下 巴打冰室,"G/F, 312, Ping Fai Building, Un Chau St, Cheung Sha Wan, 香港","BUDDY CAFÉ, G/F, 336 CASTLE PEAK ROAD, CHEUNG SHA WAN, KOWLOON","G/F, 312, Ping Fai Building, Un Chau St, Cheung Sha Wan, Hong Kong"
2263803338,ChIJ67gmrXAHBDQRWTc0rZgyH9k,巴打冰室,巴打冰室,BUDDY CAFÉ,Brother Cafe,九龍長沙灣青山道336號地下 巴打冰室,香港長沙灣青山道青山道349-351號,"BUDDY CAFÉ, G/F, 336 CASTLE PEAK ROAD, CHEUNG SHA WAN, KOWLOON","349-351 Castle Peak Road, Castle Peak Rd, Cheung Sha Wan, Hong Kong"
2263803365,ChIJATeZGLUABDQR7PwKXJKLaZo,紅番茄,元州街13號,TOMATO SPECIAL CAFE,13 Un Chau Street,九龍元州街13號地下 紅番茄,香港塘尾元州街13號元州街13號,"TOMATO SPECIAL CAFE, GROUND FLOOR, NO. 13 UN CHAU STREET, KOWLOON","13 Un Chau Street, 13 Un Chau St, Tong Mi, Hong Kong"
2263803365,ChIJg6cdIrUABDQR51le5m8Qgbg,紅番茄,Tomato Cafe,TOMATO SPECIAL CAFE,Tomato Cafe,九龍元州街13號地下 紅番茄,香港深水埗元州街13號號地下,"TOMATO SPECIAL CAFE, GROUND FLOOR, NO. 13 UN CHAU STREET, KOWLOON","Hong Kong, 深水埗元州街13號號地下"
2263803383,EklTSE9QIE5PLjgsIEhhbmQgRmFpciBDb3VydCwgMjU1IENhc3RsZSBQZWFrIFJkLCBDaGV1bmcgU2hhIFdhbiwgSG9uZyBLb25nIiUaIwoWChQKEgkJGg-6TQcENBHyAAj_s2vP7RIJU0hPUCBOTy44,冠華,青山道255號SHOP NO.8,冠華,"SHOP NO.8, 255 Castle Peak Rd",九龍青山道 255 號 恒輝閣地下 8 - 9 號舖 冠華,香港長沙灣青山道255號恆輝閣SHOP NO.8,"冠華, SHOP NO.8-9, G/F, HAND FAIR COURT, 255 CASTLE PEAK ROAD, SHAM SHUI PO, KOWLOON","SHOP NO.8, Hand Fair Court, 255 Castle Peak Rd, Cheung Sha Wan, Hong Kong"
